name,op_name,provider,node_index,dur,activation_size,output_size,input_type_shape,output_type_shape
bert/embeddings/LayerNorm/batchnorm/Rsqrt_kernel_time,Sqrt,CPUExecutionProvider,36,1,1024,1024,"[{""float"": [1, 256, 1]}]","[{""float"": [1, 256, 1]}]"
bert/embeddings/LayerNorm/batchnorm/Rsqrt__74_kernel_time,Reciprocal,CPUExecutionProvider,37,1,1024,1024,"[{""float"": [1, 256, 1]}]","[{""float"": [1, 256, 1]}]"
bert/embeddings/LayerNorm/batchnorm/mul_kernel_time,Mul,CPUExecutionProvider,38,17,1024,786432,"[{""float"": [1, 256, 1]}, {""float"": [768]}]","[{""float"": [1, 256, 768]}]"
bert/embeddings/LayerNorm/batchnorm/mul_2_kernel_time,Mul,CPUExecutionProvider,40,17,787456,786432,"[{""float"": [1, 256, 1]}, {""float"": [1, 256, 768]}]","[{""float"": [1, 256, 768]}]"
bert/embeddings/LayerNorm/batchnorm/sub_kernel_time,Sub,CPUExecutionProvider,41,56,786432,786432,"[{""float"": [768]}, {""float"": [1, 256, 768]}]","[{""float"": [1, 256, 768]}]"
bert/embeddings/LayerNorm/batchnorm/mul_1_kernel_time,Mul,CPUExecutionProvider,39,18,1572864,786432,"[{""float"": [1, 256, 768]}, {""float"": [1, 256, 768]}]","[{""float"": [1, 256, 768]}]"
bert/embeddings/LayerNorm/batchnorm/add_1_kernel_time,Add,CPUExecutionProvider,42,18,1572864,786432,"[{""float"": [1, 256, 768]}, {""float"": [1, 256, 768]}]","[{""float"": [1, 256, 768]}]"
bert/encoder/Shape_2_kernel_time,Shape,CPUExecutionProvider,50,0,786432,24,"[{""float"": [1, 256, 768]}]","[{""int64"": [3]}]"
bert/encoder/Shape_2__76_kernel_time,Cast,CPUExecutionProvider,51,0,24,12,"[{""int64"": [3]}]","[{""float"": [3]}]"
bert/encoder/strided_slice_2_kernel_time,Slice,CPUExecutionProvider,52,1,12,4,"[{""float"": [3]}, {""int64"": [1]}, {""int64"": [1]}, {""int64"": [1]}]","[{""float"": [1]}]"
bert/encoder/strided_slice_2__80_kernel_time,Squeeze,CPUExecutionProvider,53,0,4,4,"[{""float"": [1]}]","[{""float"": []}]"
bert/encoder/strided_slice_2__81_kernel_time,Cast,CPUExecutionProvider,54,0,4,4,"[{""float"": []}]","[{""int32"": []}]"
bert/encoder/layer_0/attention/self/Reshape_1/shape_Unsqueeze__288_kernel_time,Unsqueeze,CPUExecutionProvider,55,0,4,4,"[{""int32"": []}]","[{""int32"": [1]}]"
bert/encoder/Reshape_13/shape_Concat__301_kernel_time,Concat,CPUExecutionProvider,1232,1,4,12,"[{""int32"": [1]}, {""int32"": [1]}, {""int32"": [1]}]","[{""int32"": [3]}]"
bert/encoder/Reshape_13__471_kernel_time,Cast,CPUExecutionProvider,1233,0,12,24,"[{""int32"": [3]}]","[{""int64"": [3]}]"
bert/encoder/layer_11/attention/self/mul_2_kernel_time,Mul,CPUExecutionProvider,1175,1,4,4,"[{""int32"": []}, {""int32"": []}]","[{""int32"": []}]"
bert/encoder/layer_11/attention/self/Reshape_3/shape_Unsqueeze__226_kernel_time,Unsqueeze,CPUExecutionProvider,1176,0,4,4,"[{""int32"": []}]","[{""int32"": [1]}]"
bert/encoder/layer_11/attention/self/Reshape_3/shape_Concat__228_kernel_time,Concat,CPUExecutionProvider,1177,1,4,8,"[{""int32"": [1]}, {""int32"": [1]}]","[{""int32"": [2]}]"
bert/encoder/layer_11/attention/self/Reshape_3__462_kernel_time,Cast,CPUExecutionProvider,1178,0,8,16,"[{""int32"": [2]}]","[{""int64"": [2]}]"
bert/encoder/Reshape_1_kernel_time,Reshape,CPUExecutionProvider,43,1,786432,786432,"[{""float"": [1, 256, 768]}, {""int64"": [2]}]","[{""float"": [256, 768]}]"
bert/encoder/Reshape_1:0_QuantizeLinear_kernel_time,DynamicQuantizeLinear,CPUExecutionProvider,44,61,786432,196613,"[{""float"": [256, 768]}]","[{""uint8"": [256, 768]}, {""float"": []}, {""uint8"": []}]"
gemm_token_1_MatMul_quant_kernel_time,MatMulIntegerToFloat,CPUExecutionProvider,1264,612,196613,786432,"[{""uint8"": [256, 768]}, {""float"": []}, {""float"": [768]}, {""uint8"": []}, {""int8"": [768]}, {""float"": [768]}]","[{""float"": [256, 768]}]"
bert/encoder/layer_11/attention/self/Reshape_2/shape_Concat__233_kernel_time,Concat,CPUExecutionProvider,1164,1,4,16,"[{""int32"": [1]}, {""int32"": [1]}, {""int32"": [1]}, {""int32"": [1]}]","[{""int32"": [4]}]"
bert/encoder/layer_11/attention/self/Reshape_2__457_kernel_time,Cast,CPUExecutionProvider,1165,0,16,32,"[{""int32"": [4]}]","[{""int64"": [4]}]"
